Time,Value
12:33:50,-21326
12:33:50,-9082
12:33:50,8932
12:33:50,21632
12:33:50,31710
12:33:50,40185
12:33:50,44703
12:33:50,48779
12:33:50,53362
12:33:50,52181
12:33:50,42791
12:33:50,31222
12:33:50,17681
12:33:50,1075
12:33:50,-9008
12:33:50,-9260
12:33:50,-8070
12:33:50,-5699
12:33:50,118
12:33:50,4231
12:33:50,8447
12:33:50,17665
12:33:50,27843
12:33:50,34700
12:33:50,38270
12:33:50,37158
12:33:50,27519
12:33:50,13156
12:33:50,4938
12:33:50,3672
12:33:50,5227
12:33:50,11456
12:33:50,21486
12:33:50,28403
12:33:50,30765
12:33:50,31558
12:33:50,29239
12:33:50,28610
12:33:50,31057
12:33:50,31441
12:33:50,28310
12:33:50,13826
12:33:50,-2543
12:33:50,-3511
12:33:50,5889
12:33:50,9803
12:33:50,9202
12:33:50,15178
12:33:50,16522
12:33:50,9735
12:33:50,9282
12:33:50,14564
12:33:50,20032
12:33:50,27131
12:33:50,32933
12:33:50,36817
12:33:50,38649
12:33:50,38640
12:33:50,39617
12:33:50,35497
12:33:50,23617
12:33:50,11124
12:33:50,325
12:33:50,-10494
12:33:50,-17029
12:33:50,-17331
12:33:50,-15080
12:33:50,-6772
12:33:50,7293
12:33:50,20028
12:33:50,30053
12:33:50,41359
12:33:50,52971
12:33:50,58890
12:33:50,59205
12:33:50,55135
12:33:50,41166
12:33:50,20180
12:33:50,7204
12:33:50,-9376
12:33:50,-24295
12:33:51,-15812
12:33:51,-5247
12:33:51,-8932
12:33:51,-16487
12:33:51,-8292
12:33:51,13207
12:33:51,29886
12:33:51,40475
12:33:51,45830
12:33:51,41085
12:33:51,31135
12:33:51,25339
12:33:51,18537
12:33:51,11469
12:33:51,8299
12:33:51,2983
12:33:51,-4665
12:33:51,-10743
12:33:51,-15725
12:33:51,-17648
12:33:51,-10908
12:33:51,3440
12:33:51,17673
12:33:51,29390
12:33:51,39183
12:33:51,42622
12:33:51,41292
12:33:51,43918
12:33:51,47507
12:33:51,43115
12:33:51,35067
12:33:51,27610
12:33:51,15727
12:33:51,2115
12:33:51,-4304
12:33:51,-4950
12:33:51,-3346
12:33:51,1913
12:33:51,8480
12:33:51,11319
12:33:51,13013
12:33:51,17600
12:33:51,20680
12:33:51,22274
12:33:51,25198
12:33:51,24492
12:33:51,17875
12:33:51,11132
12:33:51,6679
12:33:51,5166
12:33:51,10066
12:33:51,19566
12:33:51,28227
12:33:51,33907
12:33:51,36554
12:33:51,33789
12:33:51,26375
12:33:51,23038
12:33:51,24763
12:33:51,24104
12:33:51,22111
12:33:51,12234
12:33:51,-5424
12:33:51,-7883
12:33:51,5471
12:33:51,10631
12:33:51,10076
12:33:51,19212
12:33:51,23186
12:33:51,13005
12:33:51,7133
12:33:51,9870
12:33:51,11818
12:33:51,18774
12:33:51,31661
12:33:51,39208
12:33:51,38775
12:33:51,38833
12:33:51,40821
12:33:51,36216
12:33:51,26349
12:33:51,18047
12:33:51,6862
12:33:51,-8478
12:33:51,-15521
12:33:51,-16839
12:33:51,-17191
12:33:51,-8487
12:33:51,5708
12:33:51,16359
12:33:51,24262
12:33:51,32712
12:33:51,37426
12:33:51,41612
12:33:51,50456
12:33:51,55479
12:33:51,49731
12:33:51,34440
12:33:51,19967
12:33:51,2856
12:33:52,-10720
12:33:52,-5590
12:33:52,-1943
12:33:52,-10283
12:33:52,-17972
12:33:52,-14761
12:33:52,-1155
12:33:52,16641
12:33:52,32853
12:33:52,41585
12:33:52,42412
12:33:52,37779
12:33:52,31235
12:33:52,23543
12:33:52,16159
12:33:52,10712
12:33:52,6301
12:33:52,1984
12:33:52,-4009
12:33:52,-12180
12:33:52,-16714
12:33:52,-13559
12:33:52,-6977
12:33:52,4223
12:33:52,20726
12:33:52,33888
12:33:52,39533
12:33:52,43978
12:33:52,47944
12:33:52,46071
12:33:52,42928
12:33:52,42470
12:33:52,39227
12:33:52,29405
12:33:52,16543
12:33:52,3356
12:33:52,-8090
12:33:52,-11252
12:33:52,-6440
12:33:52,-1191
12:33:52,4769
12:33:52,11386
12:33:52,13710
12:33:52,15006
12:33:52,22426
12:33:52,32359
12:33:52,36127
12:33:52,36209
12:33:52,33053
12:33:52,22427
12:33:52,9219
12:33:52,789
12:33:52,-3628
12:33:52,-4422
12:33:52,2565
12:33:52,11930
12:33:52,17855
12:33:52,25498
12:33:52,38831
12:33:52,48676
12:33:52,50787
12:33:52,48258
12:33:52,38182
12:33:52,23459
12:33:52,12584
12:33:52,3991
12:33:52,-12443
12:33:52,-21686
12:33:52,-9325
12:33:52,6085
12:33:52,6735
12:33:52,4843
12:33:52,13848
12:33:52,15704
12:33:52,11901
12:33:52,16709
12:33:52,19868
12:33:52,19665
12:33:52,24531
12:33:52,28480
12:33:52,30099
12:33:52,38438
12:33:52,45134
12:33:52,44406
12:33:52,40051
12:33:52,27288
12:33:52,9092
12:33:52,-5879
12:33:52,-12626
